gene_id,experiment_id,log2fc,padj
CCNA_R0094,quintero_wt-highK_vs_wt-lowK,-0.193960880080559,0.490621346627939
CCNA_00001,quintero_wt-highK_vs_wt-lowK,-0.0918239964527257,0.632126923788619
CCNA_00002,quintero_wt-highK_vs_wt-lowK,-0.0454943735751617,0.819127710717987
CCNA_00003,quintero_wt-highK_vs_wt-lowK,0.106477699518845,0.569434837711954
CCNA_00004,quintero_wt-highK_vs_wt-lowK,0.16676239587406,0.422254240251176
CCNA_00005,quintero_wt-highK_vs_wt-lowK,0.169826601240288,0.314022911301583
CCNA_00006,quintero_wt-highK_vs_wt-lowK,0.561323600140134,7.85439525832759e-4
CCNA_R0095,quintero_wt-highK_vs_wt-lowK,0.723332841315693,1.34155786548397e-4
CCNA_00007,quintero_wt-highK_vs_wt-lowK,0.97293638921902,1.03712317434778e-7
CCNA_00008,quintero_wt-highK_vs_wt-lowK,0.182788608037862,0.255282274520553
CCNA_00009,quintero_wt-highK_vs_wt-lowK,-0.0748815031977209,0.778625604845313
CCNA_00010,quintero_wt-highK_vs_wt-lowK,0.99060560839001,1.55391387007195e-8
CCNA_00011,quintero_wt-highK_vs_wt-lowK,1.10325462692116,3.4186442963165e-10
CCNA_00012,quintero_wt-highK_vs_wt-lowK,0.13111050020875,0.440712512483579
CCNA_R0096,quintero_wt-highK_vs_wt-lowK,0,0
CCNA_00013,quintero_wt-highK_vs_wt-lowK,0.035900109531537903,0.849422289621813
CCNA_00014,quintero_wt-highK_vs_wt-lowK,0.316654285443968,0.0737411386996227
CCNA_00015,quintero_wt-highK_vs_wt-lowK,0.217555004740602,0.31967587710688
CCNA_00016,quintero_wt-highK_vs_wt-lowK,0.523547624337708,0.0417835510286339
CCNA_00017,quintero_wt-highK_vs_wt-lowK,0.21982609889767,0.590559457733262
CCNA_00018,quintero_wt-highK_vs_wt-lowK,-0.126653224631277,0.546839368065999
CCNA_00019,quintero_wt-highK_vs_wt-lowK,-0.00183536680185561,0.993536155032775
CCNA_00020,quintero_wt-highK_vs_wt-lowK,-0.18394638682419,0.347182576526825
CCNA_03911,quintero_wt-highK_vs_wt-lowK,-1.08578086715571,2.11070900869697e-6
CCNA_00021,quintero_wt-highK_vs_wt-lowK,-1.26022306910413,2.40440581485647e-9
CCNA_00022,quintero_wt-highK_vs_wt-lowK,-1.29293637151172,2.63586275095232e-8
CCNA_00023,quintero_wt-highK_vs_wt-lowK,-0.473155646858522,0.0477936662936155
CCNA_00024,quintero_wt-highK_vs_wt-lowK,-0.239159688557617,0.188089484385801
CCNA_00025,quintero_wt-highK_vs_wt-lowK,-0.0093486819169868,0.965884876028724
CCNA_00026,quintero_wt-highK_vs_wt-lowK,0.0463402151756187,0.824326426501065
CCNA_00027,quintero_wt-highK_vs_wt-lowK,1.77544537889164,1.22201467080536e-16
CCNA_R0097,quintero_wt-highK_vs_wt-lowK,1.4509272008561,0.00279618133441646
CCNA_00028,quintero_wt-highK_vs_wt-lowK,1.76613304180338,1.21852696345468e-11
CCNA_00029,quintero_wt-highK_vs_wt-lowK,0.325297668166693,0.0811750152649538
CCNA_00030,quintero_wt-highK_vs_wt-lowK,-0.119066259137011,0.526989677341951
CCNA_00031,quintero_wt-highK_vs_wt-lowK,0.192076993431064,0.34944921510061
CCNA_00032,quintero_wt-highK_vs_wt-lowK,0.0456450686300355,0.839641759738038
CCNA_03912,quintero_wt-highK_vs_wt-lowK,-0.215661583633629,0.314405380394763
CCNA_00033,quintero_wt-highK_vs_wt-lowK,0.553442455978866,2.5575778412734e-4
CCNA_00034,quintero_wt-highK_vs_wt-lowK,1.17015468891467,5.83700705377142e-10
CCNA_00035,quintero_wt-highK_vs_wt-lowK,1.10480787212994,7.29673210485266e-11
CCNA_00036,quintero_wt-highK_vs_wt-lowK,0.964357738009241,7.57104262785123e-9
CCNA_00037,quintero_wt-highK_vs_wt-lowK,-0.669257341776199,0.00125694707497347
CCNA_00038,quintero_wt-highK_vs_wt-lowK,0.148552173356839,0.417562296550398
CCNA_00039,quintero_wt-highK_vs_wt-lowK,-0.0487683755988344,0.805997956607698
CCNA_00040,quintero_wt-highK_vs_wt-lowK,-0.21806806576591,0.210275037822918
CCNA_00041,quintero_wt-highK_vs_wt-lowK,0.804043030837381,8.63891039851453e-6
CCNA_R0098,quintero_wt-highK_vs_wt-lowK,0.790897552401358,0.00135078870056765
CCNA_00042,quintero_wt-highK_vs_wt-lowK,1.12087909876438,3.55808363909684e-12
CCNA_00043,quintero_wt-highK_vs_wt-lowK,0.730915199609888,1.57497329639421e-5
CCNA_00044,quintero_wt-highK_vs_wt-lowK,1.1025636848251,8.84297755987724e-11
CCNA_00045,quintero_wt-highK_vs_wt-lowK,0.962332576821647,5.55819271719938e-8
CCNA_00046,quintero_wt-highK_vs_wt-lowK,0.561328798749732,5.00913083746064e-4
CCNA_00047,quintero_wt-highK_vs_wt-lowK,0.879754825852953,1.72664883523093e-6
CCNA_00048,quintero_wt-highK_vs_wt-lowK,0.6820252896146,0.00170362090805729
CCNA_00049,quintero_wt-highK_vs_wt-lowK,-0.0117772755402008,0.973406435701516
CCNA_00050,quintero_wt-highK_vs_wt-lowK,0.0107889486605157,0.956513398195861
CCNA_00051,quintero_wt-highK_vs_wt-lowK,-0.0478285415896237,0.798463024153566
CCNA_00052,quintero_wt-highK_vs_wt-lowK,0.914308694964665,5.26174461625622e-8
CCNA_00053,quintero_wt-highK_vs_wt-lowK,0.872528325046578,5.39974215491684e-7
CCNA_00054,quintero_wt-highK_vs_wt-lowK,0.673954488693174,5.94390543549165e-5
CCNA_00055,quintero_wt-highK_vs_wt-lowK,-0.171466279996004,0.38661493664856
CCNA_00056,quintero_wt-highK_vs_wt-lowK,0.447412445286049,0.0604262699380864
CCNA_00057,quintero_wt-highK_vs_wt-lowK,0.685635028926343,4.30337746363275e-5
CCNA_00058,quintero_wt-highK_vs_wt-lowK,0.523163799101453,0.00106895344463784
