gene_id,experiment_id,log2fc,padj
CCNA_R0094,quintero_wt-lowK_vs_ΔkdpE-lowK,0.139304070586671,0.883086242278468
CCNA_00001,quintero_wt-lowK_vs_ΔkdpE-lowK,0.10870874078472,0.853771021002398
CCNA_00002,quintero_wt-lowK_vs_ΔkdpE-lowK,0.102468625592816,0.889280418078436
CCNA_00003,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0226952636334093,0.982930521322842
CCNA_00004,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0140457222427538,0.996622663272792
CCNA_00005,quintero_wt-lowK_vs_ΔkdpE-lowK,0.197752115437923,0.626368606163003
CCNA_00006,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0733305917049966,0.927551435100477
CCNA_R0095,quintero_wt-lowK_vs_ΔkdpE-lowK,0.229730669947411,0.553578717184214
CCNA_00007,quintero_wt-lowK_vs_ΔkdpE-lowK,0.155138076277581,0.802539892773751
CCNA_00008,quintero_wt-lowK_vs_ΔkdpE-lowK,0.087106156539755,0.896834139023419
CCNA_00009,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0296940239411572,0.982892728438974
CCNA_00010,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.427791169292046,0.119593512027005
CCNA_00011,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.567502070103441,0.0136238181885031
CCNA_00012,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0867768311677349,0.898143520310077
CCNA_R0096,quintero_wt-lowK_vs_ΔkdpE-lowK,0,NA
CCNA_00013,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.135314622574866,0.795311764006639
CCNA_00014,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0693811181008889,0.928646988453598
CCNA_00015,quintero_wt-lowK_vs_ΔkdpE-lowK,0.123357593833332,0.873517744585788
CCNA_00016,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0642632171564599,0.958927573897016
CCNA_00017,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.307696372959076,NA
CCNA_00018,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0901050504702767,0.913015530202387
CCNA_00019,quintero_wt-lowK_vs_ΔkdpE-lowK,0.174028583233977,0.704310769038119
CCNA_00020,quintero_wt-lowK_vs_ΔkdpE-lowK,0.0825410327033345,0.916162964698925
CCNA_03911,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.814625887871084,9.38116492621072e-5
CCNA_00021,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.752909154700427,7.74757039430712e-4
CCNA_00022,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.78565594586765,7.93457898424265e-4
CCNA_00023,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0228848276365245,0.99056851636028
CCNA_00024,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.0475317998200222,0.958927573897016
CCNA_00025,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.112665813337956,0.860064622125898
CCNA_00026,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.034738026338173,0.973557788736547
CCNA_00027,quintero_wt-lowK_vs_ΔkdpE-lowK,0.360619728547642,0.348942716888153
CCNA_R0097,quintero_wt-lowK_vs_ΔkdpE-lowK,0.00748194762986983,NA
CCNA_00028,quintero_wt-lowK_vs_ΔkdpE-lowK,1.28093229071221,3.56080904808361e-8
CCNA_00029,quintero_wt-lowK_vs_ΔkdpE-lowK,-0.290455915005108,0.341515949544731
